最後結算日,契約月份,商品代號,商品名稱,最後結算價
2015/12/30,201512W5,TX/MTX,臺股期貨/小型臺指期貨,8281
2015/12/23,201512W4,TX/MTX,臺股期貨/小型臺指期貨,8316
2015/12/16,201512  ,TX/MTX,臺股期貨/小型臺指期貨,8198
2015/12/16,201512  ,TE,電子期貨,324.95
2015/12/16,201512  ,TF,金融期貨,973.8
2015/12/16,201512  ,T5F,台灣50期貨,6020
2015/12/16,201512  ,XIF,非金電期貨,10068
2015/12/16,201512  ,GTF,櫃買期貨,128.65
2015/12/09,201512W2,TX/MTX,臺股期貨/小型臺指期貨,8252
2015/12/02,201512W1,TX/MTX,臺股期貨/小型臺指期貨,8463
2015/11/25,201511W4,TX/MTX,臺股期貨/小型臺指期貨,8372
2015/11/18,201511  ,TX/MTX,臺股期貨/小型臺指期貨,8335
2015/11/18,201511  ,TE,電子期貨,325.15
2015/11/18,201511  ,TF,金融期貨,1031.6
2015/11/18,201511  ,T5F,台灣50期貨,6120
2015/11/18,201511  ,XIF,非金電期貨,10317
2015/11/18,201511  ,GTF,櫃買期貨,126.05
2015/11/11,201511W2,TX/MTX,臺股期貨/小型臺指期貨,8428
2015/11/04,201511W1,TX/MTX,臺股期貨/小型臺指期貨,8851
2015/10/28,201510W4,TX/MTX,臺股期貨/小型臺指期貨,8647
2015/10/21,201510  ,TX/MTX,臺股期貨/小型臺指期貨,8617
2015/10/21,201510  ,TE,電子期貨,330.85
2015/10/21,201510  ,TF,金融期貨,1064.8
2015/10/21,201510  ,T5F,台灣50期貨,6343
2015/10/21,201510  ,XIF,非金電期貨,10937
2015/10/21,201510  ,GTF,櫃買期貨,123.7
2015/10/14,201510W2,TX/MTX,臺股期貨/小型臺指期貨,8528
2015/10/07,201510W1,TX/MTX,臺股期貨/小型臺指期貨,8481
2015/09/30,201509W5,TX/MTX,臺股期貨/小型臺指期貨,8156
2015/09/23,201509W4,TX/MTX,臺股期貨/小型臺指期貨,8199
2015/09/16,201509  ,TX/MTX,臺股期貨/小型臺指期貨,8318
2015/09/16,201509  ,TE,電子期貨,321.45
2015/09/16,201509  ,TF,金融期貨,1054.8
2015/09/16,201509  ,T5F,台灣50期貨,6173
2015/09/16,201509  ,XIF,非金電期貨,10337
2015/09/16,201509  ,GTF,櫃買期貨,117
2015/09/09,201509W2,TX/MTX,臺股期貨/小型臺指期貨,8279
2015/09/02,201509W1,TX/MTX,臺股期貨/小型臺指期貨,8056
2015/08/26,201508W4,TX/MTX,臺股期貨/小型臺指期貨,7750
2015/08/19,201508  ,TX/MTX,臺股期貨/小型臺指期貨,8002
2015/08/19,201508  ,TE,電子期貨,306.15
2015/08/19,201508  ,TF,金融期貨,1013.6
2015/08/19,201508  ,T5F,台灣50期貨,5968
2015/08/19,201508  ,XIF,非金電期貨,10104
2015/08/19,201508  ,GTF,櫃買期貨,110.05
2015/08/12,201508W2,TX/MTX,臺股期貨/小型臺指期貨,8278
