date,LTD,strike,c_or_p,open,high,low,close,Final_p,volume,OI,weekdays
2014/1/2,2014-03,6000,call,0,0,0,0,2590,0,1,Thursday
2014/1/2,2014-03,6000,put,0.5,0.6,0.5,0.6,0.1,11,3365,Thursday
2014/1/2,2014-03,6100,call,0,0,0,0,2490,0,0,Thursday
2014/1/2,2014-03,6100,put,0,0,0,0,0.1,0,0,Thursday
2014/1/2,2014-03,6200,call,0,0,0,0,2390,0,0,Thursday
2014/1/2,2014-03,6200,put,0,0,0,0,0.1,0,1428,Thursday
2014/1/2,2014-03,6300,call,0,0,0,0,2290,0,0,Thursday
2014/1/2,2014-03,6300,put,0,0,0,0,0.1,0,0,Thursday
2014/1/2,2014-03,6400,call,0,0,0,0,2190,0,0,Thursday
2014/1/2,2014-03,6400,put,0,0,0,0,0.1,0,1349,Thursday
2014/1/2,2014-03,6500,call,0,0,0,0,2090,0,0,Thursday
2014/1/2,2014-03,6500,put,0,0,0,0,0.1,0,0,Thursday
2014/1/2,2014-03,6600,call,0,0,0,0,1990,0,0,Thursday
2014/1/2,2014-03,6600,put,0,0,0,0,0.8,0,2525,Thursday
2014/1/2,2014-03,6700,call,0,0,0,0,1890,0,0,Thursday
2014/1/2,2014-03,6700,put,0,0,0,0,0.9,0,0,Thursday
2014/1/2,2014-03,6800,call,0,0,0,0,1790,0,12,Thursday
2014/1/2,2014-03,6800,put,0,0,0,0,1.1,0,5617,Thursday
2014/1/2,2014-03,6900,call,0,0,0,0,1690,0,0,Thursday
2014/1/2,2014-03,6900,put,0,0,0,0,1.2,0,0,Thursday
2014/1/2,2014-03,7000,call,0,0,0,0,1580,0,18,Thursday
2014/1/2,2014-03,7000,put,1.5,1.8,1.5,1.8,1.8,30,3582,Thursday
2014/1/2,2014-03,7100,call,0,0,0,0,1480,0,0,Thursday
2014/1/2,2014-03,7100,put,0,0,0,0,2,0,13,Thursday
2014/1/2,2014-03,7200,call,0,0,0,0,1380,0,9,Thursday
2014/1/2,2014-03,7200,put,2.9,2.9,2.8,2.8,2.8,6,2031,Thursday
2014/1/2,2014-03,7300,call,0,0,0,0,1280,0,0,Thursday
