date,LTD,strike,c_or_p,open,high,low,close,Final_p,volume,OI,weekdays
2017/1/3,Mar-17,6600,put,2.1,2.1,1.6,1.7,1.7,186,8659,Tuesday
2017/1/3,Mar-17,6800,put,2.6,2.6,2.6,2.6,2.1,1,2199,Tuesday
2017/1/3,Mar-17,7.00E+03,put,2,3.3,1.9,2.3,2.3,38,2625,Tuesday
2017/1/3,Mar-17,7100,put,2.3,2.7,2.3,2.7,2.4,30,84,Tuesday
2017/1/3,Mar-17,7200,put,2,3,2,2.5,2.5,65,1666,Tuesday
2017/1/3,Mar-17,7300,put,2.9,3.5,2.7,2.7,2.7,12,42,Tuesday
2017/1/3,Mar-17,7400,put,3.4,4,3,3,3,41,1646,Tuesday
2017/1/3,Mar-17,7500,put,4.7,4.7,3.3,3.5,3.5,65,168,Tuesday
2017/1/3,Mar-17,7600,put,6,6,3.9,4.1,4.1,172,2373,Tuesday
2017/1/3,Mar-17,7700,put,6.7,6.7,4.8,4.9,4.9,278,357,Tuesday
2017/1/3,Mar-17,7800,put,8.6,8.7,5.9,5.9,5.9,470,1358,Tuesday
2017/1/3,Mar-17,7900,put,9.9,10.5,7.2,7.2,7.2,277,365,Tuesday
2017/1/3,Mar-17,8.00E+03,put,12,12,9.5,9.6,9.6,249,2576,Tuesday
2017/1/3,Mar-17,8100,put,14,14,12,12,12,14,193,Tuesday
2017/1/3,Mar-17,8200,call,1050,1050,1050,1050,1070,1,33,Tuesday
2017/1/3,Mar-17,8200,put,18,18,14,14,14,39,1718,Tuesday
2017/1/3,Mar-17,8300,put,22,23,18.5,18.5,18.5,35,421,Tuesday
2017/1/3,Mar-17,8400,put,28.5,29.5,23.5,23.5,23.5,502,2118,Tuesday
2017/1/3,Mar-17,8500,put,36.5,37.5,31,31.5,31.5,103,346,Tuesday
2017/1/3,Mar-17,8600,put,43,48,38,38,38,104,2097,Tuesday
2017/1/3,Mar-17,8700,put,57,60,50,51,51,100,431,Tuesday
2017/1/3,Mar-17,8800,call,500,510,500,510,515,3,465,Tuesday
2017/1/3,Mar-17,8800,put,76,76,62,63,63,80,3366,Tuesday
2017/1/3,Mar-17,8900,put,96,97,79,79,79,90,1768,Tuesday
2017/1/3,Mar-17,9.00E+03,call,350,350,340,345,356,5,796,Tuesday
2017/1/3,Mar-17,9.00E+03,put,120,125,103,103,103,405,2284,Tuesday
2017/1/3,Mar-17,9100,call,278,278,278,278,288,1,95,Tuesday
2017/1/3,Mar-17,9100,put,144,151,133,135,135,8,46,Tuesday
2017/1/3,Mar-17,9200,call,220,224,210,224,224,21,2515,Tuesday
2017/1/3,Mar-17,9200,put,184,196,180,180,172,26,1004,Tuesday
2017/1/3,Mar-17,9300,call,158,168,156,168,168,34,202,Tuesday
2017/1/3,Mar-17,9300,put,235,235,220,220,220,3,57,Tuesday
2017/1/3,Mar-17,9400,call,122,122,115,122,122,92,3694,Tuesday
2017/1/3,Mar-17,9400,put,295,295,282,282,269,43,229,Tuesday
2017/1/3,Mar-17,9500,call,83,83,76,82,82,169,2208,Tuesday
2017/1/3,Mar-17,9500,put,335,335,335,335,329,1,1,Tuesday
2017/1/3,Mar-17,9600,call,53,56,51,56,56,97,4673,Tuesday
2017/1/3,Mar-17,9600,put,420,420,410,410,403,3,17,Tuesday
2017/1/3,Mar-17,9700,call,36,36,33,36,36,101,731,Tuesday
2017/1/3,Mar-17,9800,call,22,23,20.5,22.5,22.5,124,5344,Tuesday
2017/1/3,Mar-17,9900,call,13.5,14,13,13.5,13.5,131,826,Tuesday
2017/1/3,Mar-17,1.00E+04,call,9.5,9.7,8.7,9.7,9.7,106,4101,Tuesday
2017/1/3,Mar-17,10200,call,4.2,4.2,3.7,3.8,3.8,172,215,Tuesday
2017/1/3,Mar-17,10400,call,2.6,2.6,2.6,2.6,2.6,1,3502,Tuesday
2017/1/3,Mar-17,11200,call,0.8,0.8,0.8,0.8,0.8,1,3030,Tuesday
2017/1/3,Jun-17,7.00E+03,put,17,19,16,17,17,485,2708,Tuesday
2017/1/3,Jun-17,7200,put,21,24.5,20,20,20,64,3652,Tuesday
2017/1/3,Jun-17,7400,put,28.5,28.5,25,25,25,38,1496,Tuesday
2017/1/3,Jun-17,7600,put,35,35.5,33,35.5,35.5,73,1254,Tuesday
2017/1/3,Jun-17,7800,put,51,51,42.5,42.5,42.5,62,1305,Tuesday
2017/1/3,Jun-17,8.00E+03,put,61,64,56,56,56,97,1484,Tuesday
2017/1/3,Jun-17,8200,put,87,87,76,76,76,95,1402,Tuesday
