date,LTD,strike,c_or_p,open,high,low,close,Final_p,volume,OI,weekdays
2016/1/4,2016-03,5800,call,0,0,0,0,2260,0,1,Monday
2016/1/4,2016-03,5800,put,6.1,11.5,6.1,11.5,10.5,352,4112,Monday
2016/1/4,2016-03,5900,call,0,0,0,0,2160,0,0,Monday
2016/1/4,2016-03,5900,put,6.9,11,6.9,11,11,76,247,Monday
2016/1/4,2016-03,6e3,call,0,0,0,0,2060,0,0,Monday
2016/1/4,2016-03,6e3,put,8.3,14,8,14,14,201,2007,Monday
2016/1/4,2016-03,6100,call,0,0,0,0,1960,0,0,Monday
2016/1/4,2016-03,6100,put,9.1,14.5,9.1,13,15,40,60,Monday
2016/1/4,2016-03,6200,call,0,0,0,0,1860,0,0,Monday
2016/1/4,2016-03,6200,put,13.5,18.5,13.5,18.5,17.5,61,1008,Monday
2016/1/4,2016-03,6300,call,0,0,0,0,1760,0,0,Monday
2016/1/4,2016-03,6300,put,14,20,14,19,19,42,172,Monday
2016/1/4,2016-03,6400,call,0,0,0,0,1670,0,0,Monday
2016/1/4,2016-03,6400,put,17.5,24,17.5,24,24,42,1624,Monday
2016/1/4,2016-03,6500,call,0,0,0,0,1570,0,0,Monday
2016/1/4,2016-03,6500,put,17.5,27,17,27,27,15,440,Monday
2016/1/4,2016-03,6600,call,0,0,0,0,1480,0,0,Monday
2016/1/4,2016-03,6600,put,20,32.5,20,32.5,32.5,136,1730,Monday
2016/1/4,2016-03,6700,call,0,0,0,0,1380,0,0,Monday
2016/1/4,2016-03,6700,put,27,37,27,32.5,37.5,134,422,Monday
2016/1/4,2016-03,6800,call,0,0,0,0,1290,0,1,Monday
2016/1/4,2016-03,6800,put,27.5,45,26.5,44,44,153,1674,Monday
2016/1/4,2016-03,6900,call,0,0,0,0,1200,0,0,Monday
2016/1/4,2016-03,6900,put,36,53,36,53,53,218,493,Monday
2016/1/4,2016-03,7e3,call,0,0,0,0,1110,0,22,Monday
2016/1/4,2016-03,7e3,put,37,63,37,63,63,561,5092,Monday
2016/1/4,2016-03,7100,call,0,0,0,0,1020,0,0,Monday
2016/1/4,2016-03,7100,put,56,72,55,70,70,49,153,Monday
2016/1/4,2016-03,7200,call,0,0,0,0,930,0,8,Monday
2016/1/4,2016-03,7200,put,51,85,51,85,85,1723,5754,Monday
2016/1/4,2016-03,7300,call,0,0,0,0,845,0,0,Monday
2016/1/4,2016-03,7300,put,62,99,60,96,96,334,483,Monday
2016/1/4,2016-03,7400,call,0,0,0,0,760,0,203,Monday
2016/1/4,2016-03,7400,put,73,118,70,112,112,314,2351,Monday
2016/1/4,2016-03,7500,call,850,850,695,705,685,5,11,Monday
2016/1/4,2016-03,7500,put,84,137,84,132,132,588,1390,Monday
