date,LTD,strike,c_or_p,open,high,low,close,Final_p,volume,OI,weekdays
2014-02-07,2014-03,8400,call,98,108,92,93,93,1728,4360,Friday
2014-02-07,2014-03,8400,put,208,208,161,173,173,453,4612,Friday
2014-05-28,2014-06,9100,call,55,97,53,93,93,40886,40231,Wednesday
2014-05-28,2014-06,9100,put,91,98,53,55,55,18633,11716,Wednesday
2014-06-19,2014-09,9300,call,63,75,62,72,72,202,197,Thursday
2014-06-19,2014-09,9300,put,312,313,283,292,282,34,33,Thursday
2014-10-15,2014-12,8800,call,179,179,141,146,146,128,1331,Wednesday
2014-10-15,2014-12,8800,put,262,308,246,308,308,513,5009,Wednesday
2015-01-27,2015-03,9500,call,185,192,162,182,182,297,2887,Tuesday
2015-01-27,2015-03,9500,put,165,180,155,157,157,161,409,Tuesday
2015-04-29,2015-06,9900,call,259,290,202,209,209,517,4256,Wednesday
2015-04-29,2015-06,9900,put,177,206,160,192,192,2274,4349,Wednesday
2015-08-26,2015-09,7600,call,190,254,169,222,222,6972,6534,Wednesday
2015-08-26,2015-09,7600,put,265,335,175,214,214,5671,10909,Wednesday
2015-09-17,2015-12,8400,call,350,377,342,359,359,272,3051,Thursday
2015-09-17,2015-12,8400,put,380,380,319,319,319,356,3554,Thursday
2016-02-22,2016-03,8300,call,137,198,120,130,130,11658,15706,Monday
2016-02-22,2016-03,8300,put,147,158,96,131,131,10744,7788,Monday
2016-05-27,2016-06,8400,call,104,138,96,132,132,12025,22158,Friday
2016-05-27,2016-06,8400,put,94,105,68,71,71,11937,8303,Friday
2016-08-03,2016-09,9000,call,115,146,108,132,132,889,5640,Wednesday
2016-08-03,2016-09,9000,put,255,305,250,270,270,214,455,Wednesday
2016-09-22,2016-12,9300,call,180,180,168,171,171,6,3,Thursday
2016-09-22,2016-12,9300,put,310,362,310,362,362,2,2,Thursday
2017-02-09,2017-03,9600,call,83,100,77,99,99,2786,11664,Thursday
2017-02-09,2017-03,9600,put,178,178,137,138,138,1233,1343,Thursday
2017-03-16,2017-06,9800,call,207,237,207,229,229,306,4872,Thursday
2017-03-16,2017-06,9800,put,251,252,218,218,218,53,329,Thursday
2017-06-28,2017-09,10500,call,101,107,87,87,87,56,620,Wednesday
2017-06-28,2017-09,10500,put,403,415,403,415,445,2,10,Wednesday
2018-02-08,2018-03,10600,call,223,245,206,218,218,778,2394,Thursday
2018-02-08,2018-03,10600,put,300,322,271,318,318,514,4925,Thursday
2018-03-22,2018-06,11000,call,338,338,275,275,284,10,2385,Thursday
2018-03-22,2018-06,11000,put,299,350,286,344,344,27,224,Thursday
2018-06-27,2018-09,10800,call,127,127,110,110,110,8,741,Wednesday
2018-06-27,2018-09,10800,put,495,530,495,530,530,16,829,Wednesday
2018-10-30,2018-12,9500,call,300,316,291,304,304,32,135,Tuesday
2018-10-30,2018-12,9500,put,313,313,286,294,294,184,782,Tuesday
