date,LTD,strike,c_or_p,open,high,low,close,Final_p,volume,OI,weekdays
2014-02-06,2014-03,8300,call,134,136,122,127,127,919,1657,Thursday
2014-02-06,2014-03,8300,put,160,186,134,172,172,772,6909,Thursday
2014-05-29,2014-06,9100,call,90,99,77,79,79,20183,41594,Thursday
2014-05-29,2014-06,9100,put,56,66,50,65,65,14880,14285,Thursday
2014-06-19,2014-09,9300,call,63,75,62,72,72,202,197,Thursday
2014-06-19,2014-09,9300,put,312,313,283,292,282,34,33,Thursday
2014-11-24,2014-12,9100,call,144,168,136,144,144,6845,12434,Monday
2014-11-24,2014-12,9100,put,109,125,100,113,113,7435,6251,Monday
2015-02-25,2015-03,9700,call,95,100,82,89,89,16444,17630,Wednesday
2015-02-25,2015-03,9700,put,110,122,99,105,105,6305,3610,Wednesday
2015-03-19,2015-06,9700,call,235,250,229,250,250,107,107,Thursday
2015-03-19,2015-06,9700,put,200,203,172,172,172,344,323,Thursday
2015-08-25,2015-09,7400,call,320,371,260,345,345,3556,2986,Tuesday
2015-08-25,2015-09,7400,put,342,357,156,174,174,11258,10486,Tuesday
2015-09-17,2015-12,8400,call,350,377,342,359,359,272,3051,Thursday
2015-09-17,2015-12,8400,put,380,380,319,319,319,356,3554,Thursday
2016-01-05,2016-03,8100,call,252,252,234,234,232,9,62,Tuesday
2016-01-05,2016-03,8100,put,283,326,283,326,338,16,93,Tuesday
2016-05-05,2016-06,8200,call,130,144,106,122,122,1718,2397,Thursday
2016-05-05,2016-06,8200,put,199,231,183,198,198,712,3748,Thursday
2016-06-16,2016-09,8600,call,107,110,78,86,86,602,4784,Thursday
2016-06-16,2016-09,8600,put,500,550,500,550,570,2,1589,Thursday
2016-09-22,2016-12,9300,call,180,180,168,171,171,6,3,Thursday
2016-09-22,2016-12,9300,put,310,362,310,362,362,2,2,Thursday
2017-02-14,2017-03,9700,call,125,142,108,118,118,7382,11354,Tuesday
2017-02-14,2017-03,9700,put,110,125,97,119,119,6131,4070,Tuesday
2017-03-16,2017-06,9800,call,207,237,207,229,229,306,4872,Thursday
2017-03-16,2017-06,9800,put,251,252,218,218,218,53,329,Thursday
2017-06-22,2017-09,10300,call,103,106,95,106,106,13,10,Thursday
2017-06-22,2017-09,10300,put,340,340,339,339,332,3,3,Thursday
2017-09-21,2017-12,10500,call,238,274,238,265,265,10,9,Thursday
2017-09-21,2017-12,10500,put,271,271,224,224,224,56,30,Thursday
2018-02-07,2018-03,10500,call,362,362,268,276,276,255,1832,Wednesday
2018-02-07,2018-03,10500,put,213,280,201,280,280,1461,10785,Wednesday
2018-03-22,2018-06,11000,call,338,338,275,275,284,10,2385,Thursday
2018-03-22,2018-06,11000,put,299,350,286,344,344,27,224,Thursday
2018-06-27,2018-09,10800,call,127,127,110,110,110,8,741,Wednesday
2018-06-27,2018-09,10800,put,495,530,495,530,530,16,829,Wednesday
2018-10-12,2018-12,9800,call,275,414,273,414,384,53,48,Friday
2018-10-12,2018-12,9800,put,380,380,237,243,258,107,1161,Friday
