date,LTD,strike,c_or_p,open,high,low,close,Final_p,volume,OI,weekdays
2014-03-19,2014-03,8300,call,429,430,390,395,0,83,2590,Wednesday
2014-03-19,2014-03,8300,put,0.1,0.3,0.1,0.2,0,233,46454,Wednesday
2014-06-18,2014-06,9100,call,142,211,109,202,0,8715,23680,Wednesday
2014-06-18,2014-06,9100,put,0.5,0.6,0.1,0.1,0,4876,54205,Wednesday
2014-09-17,2014-09,9300,call,1,1.3,0.1,0.2,0,12622,35346,Wednesday
2014-09-17,2014-09,9300,put,109,145,53,128,0,23033,11479,Wednesday
2014-12-17,2014-12,9100,call,2,2.8,0.1,0.2,0,24230,50428,Wednesday
2014-12-17,2014-12,9100,put,140,266,120,257,0,5712,13181,Wednesday
2015-03-18,2015-03,9700,call,0.2,0.5,0.1,0.1,0,7485,57909,Wednesday
2015-03-18,2015-03,9700,put,140,152,53,67,0,12103,4871,Wednesday
2015-06-17,2015-06,9700,call,0.2,0.2,0.1,0.1,0,305,40365,Wednesday
2015-06-17,2015-06,9700,put,489,520,471,520,0,278,8643,Wednesday
2015-09-16,2015-09,7400,call,905,950,900,920,0,5,3121,Wednesday
2015-09-16,2015-09,7400,put,0.2,0.2,0.1,0.1,0,415,22203,Wednesday
2015-12-16,2015-12,8400,call,0.2,0.3,0.1,0.1,0,3659,32156,Wednesday
2015-12-16,2015-12,8400,put,231,287,192,202,0,7816,9943,Wednesday
2016-03-16,2016-03,8100,call,545,600,545,590,0,94,1649,Wednesday
2016-03-16,2016-03,8100,put,0.1,0.2,0.1,0.2,0,222,23268,Wednesday
2016-06-15,2016-06,8200,call,370,405,313,402,0,280,10040,Wednesday
2016-06-15,2016-06,8200,put,0.3,0.3,0.1,0.1,0,504,37794,Wednesday
2016-09-21,2016-09,8600,call,520,620,520,620,0,40,3798,Wednesday
2016-09-21,2016-09,8600,put,0.2,0.3,0.1,0.2,0,542,33159,Wednesday
2016-12-21,2016-12,9300,call,4.9,5,0.1,0.1,0,40776,52857,Wednesday
2016-12-21,2016-12,9300,put,41,76,37,68,0,52179,22941,Wednesday
2017-03-15,2017-03,9700,call,48,52,24,33.5,0,91366,23630,Wednesday
2017-03-15,2017-03,9700,put,6.6,8.7,0.1,0.1,0,73368,56113,Wednesday
2017-06-21,2017-06,9800,call,491,570,471,570,0,136,5661,Wednesday
2017-06-21,2017-06,9800,put,0.1,0.1,0.1,0.1,0,331,59090,Wednesday
2017-09-20,2017-09,10300,call,277,283,192,210,0,1655,7784,Wednesday
2017-09-20,2017-09,10300,put,0.2,0.3,0.1,0.1,0,1889,41769,Wednesday
2017-12-20,2017-12,10500,call,5.5,20.5,0.1,0.2,0,160468,68792,Wednesday
2017-12-20,2017-12,10500,put,56,56,2,3.2,0,190127,31214,Wednesday
2018-03-21,2018-03,10500,call,555,555,515,540,0,19,3804,Wednesday
2018-03-21,2018-03,10500,put,0.3,0.3,0.1,0.1,0,650,30656,Wednesday
2018-06-20,2018-06,11000,call,1.8,2,0.1,0.1,0,22844,28295,Wednesday
2018-06-20,2018-06,11000,put,99,150,49.5,63,0,23175,8669,Wednesday
2018-09-19,2018-09,10800,call,43,75,30,72,0,58159,13243,Wednesday
2018-09-19,2018-09,10800,put,9.2,11.5,0.1,0.1,0,75114,44167,Wednesday
2018-12-19,2018-12,9800,call,5.8,9.8,0.1,0.1,0,91976,49006,Wednesday
2018-12-19,2018-12,9800,put,55,73,25.5,32,0,47902,12429,Wednesday
