date,LTD,strike,c_or_p,open,high,low,close,Final_p,volume,OI,weekdays
2014-01-03,2014-03,8600,put,194,209,192,208,208,7,306,Friday
2014-01-03,2014-03,8600,call,137,144,127,131,131,262,2798,Friday
2014-02-05,2014-03,8600,put,360,440,354,409,409,160,2712,Wednesday
2014-02-06,2014-03,8600,put,351,394,351,375,375,88,2699,Thursday
2014-03-20,2014-06,8600,put,222,249,222,240,240,68,870,Thursday
2014-03-20,2014-06,8600,call,200,200,181,183,183,205,5057,Thursday
2014-05-26,2014-06,8600,call,455,455,418,442,442,175,6191,Monday
2014-05-27,2014-06,8600,call,448,461,432,455,455,199,6170,Tuesday
2014-09-18,2014-12,9200,put,222,222,200,203,203,133,2758,Thursday
2014-09-18,2014-12,9200,call,245,259,238,239,245,145,4937,Thursday
2014-10-13,2014-12,9200,put,424,570,424,550,550,88,2867,Monday
2014-10-14,2014-12,9200,put,550,550,530,530,530,56,2859,Tuesday
2015-01-06,2015-03,9200,put,227,315,227,297,297,239,2603,Tuesday
2015-01-06,2015-03,9200,call,115,180,115,140,140,190,3050,Tuesday
2015-01-23,2015-03,9200,call,347,368,347,353,353,213,3199,Friday
2015-01-26,2015-03,9200,call,346,355,333,351,351,97,3225,Monday
2015-03-19,2015-06,9700,put,200,203,172,172,172,344,323,Thursday
2015-03-19,2015-06,9700,call,235,250,229,250,250,107,107,Thursday
2015-04-27,2015-06,9700,call,420,458,395,439,439,166,2470,Monday
2015-04-28,2015-06,9700,call,439,440,388,391,402,65,2439,Tuesday
2015-06-18,2015-09,9200,put,456,468,456,458,458,4,1879,Thursday
2015-06-18,2015-09,9200,call,130,136,119,121,121,350,4250,Thursday
2015-07-24,2015-09,9200,put,570,620,540,580,590,146,1925,Friday
2015-07-27,2015-09,9200,put,620,765,620,710,730,133,1904,Monday
2015-07-28,2015-09,8600,put,344,344,215,245,245,355,2535,Tuesday
2015-07-28,2015-09,8600,call,119,165,113,139,139,360,701,Tuesday
2015-08-18,2015-09,8600,put,427,500,400,497,497,284,1869,Tuesday
2015-08-19,2015-09,8600,put,505,655,497,620,645,216,1814,Wednesday
2015-08-20,2015-09,8000,put,200,218,137,172,172,11390,11920,Thursday
2015-08-20,2015-09,8000,call,136,175,118,143,143,11402,4667,Thursday
2015-08-24,2015-09,8000,put,424,1100,380,695,695,5777,7773,Monday
2015-08-25,2015-09,8000,put,695,720,474,490,490,638,7356,Tuesday
2016-01-05,2016-03,8100,put,283,326,283,326,338,16,93,Tuesday
2016-01-05,2016-03,8100,call,252,252,234,234,232,9,62,Tuesday
2016-01-15,2016-03,8100,put,505,530,505,530,545,5,87,Friday
2016-01-18,2016-03,8100,put,535,560,435,437,422,6,89,Monday
2016-01-19,2016-03,7800,put,253,283,228,229,229,213,2713,Tuesday
