date,LTD,strike,c_or_p,open,high,low,close,Final_p,volume,OI,weekdays
2014-01-03,2014-03,8600,put,194,209,192,208,208,7,306,Friday
2014-01-03,2014-03,8600,call,137,144,127,131,131,262,2798,Friday
2014-02-05,2014-03,8600,call,65,65,30,33,33,4023,6233,Wednesday
2014-02-05,2014-03,8600,put,360,440,354,409,409,160,2712,Wednesday
2014-03-20,2014-06,8600,put,222,249,222,240,240,68,870,Thursday
2014-03-20,2014-06,8600,call,200,200,181,183,183,205,5057,Thursday
2014-05-28,2014-06,8600,call,460,545,460,530,540,178,6144,Wednesday
2014-05-28,2014-06,8600,put,4.5,4.5,3,3.5,3.5,12148,37789,Wednesday
2014-09-18,2014-12,9200,put,222,222,200,203,203,133,2758,Thursday
2014-09-18,2014-12,9200,call,245,259,238,239,245,145,4937,Thursday
2014-10-15,2014-12,9200,call,52,53,37.5,39,39,1048,6132,Wednesday
2014-10-15,2014-12,9200,put,555,610,555,610,610,142,2843,Wednesday
2014-10-16,2014-12,8600,put,233,289,190,218,218,2820,7845,Thursday
2014-10-16,2014-12,8600,call,190,256,182,234,234,670,755,Thursday
2014-11-21,2014-12,8600,call,525,530,505,515,515,435,1397,Friday
2014-11-21,2014-12,8600,put,17.5,18.5,14.5,14.5,14.5,12929,31153,Friday
2015-01-06,2015-03,9200,put,227,315,227,297,297,239,2603,Tuesday
2015-01-06,2015-03,9200,call,115,180,115,140,140,190,3050,Tuesday
2015-02-24,2015-03,9200,call,419,461,419,450,450,358,3284,Tuesday
2015-02-24,2015-03,9200,put,22.5,22.5,12.5,12.5,12.5,11065,16718,Tuesday
2015-06-18,2015-09,9200,put,456,468,456,458,458,4,1879,Thursday
2015-06-18,2015-09,9200,call,130,136,119,121,121,350,4250,Thursday
2015-07-27,2015-09,9200,call,21.5,25,14,17.5,17.5,2890,7018,Monday
2015-07-27,2015-09,9200,put,620,765,620,710,730,133,1904,Monday
2015-07-28,2015-09,8600,put,344,344,215,245,245,355,2535,Tuesday
2015-07-28,2015-09,8600,call,119,165,113,139,139,360,701,Tuesday
2015-08-19,2015-09,8600,call,20,20,8.9,10.5,10.5,12153,19655,Wednesday
2015-08-19,2015-09,8600,put,505,655,497,620,645,216,1814,Wednesday
2015-08-20,2015-09,8000,put,200,218,137,172,172,11390,11920,Thursday
2015-08-20,2015-09,8000,call,136,175,118,143,143,11402,4667,Thursday
2015-08-24,2015-09,8000,call,46,70,26,48.5,48.5,52619,23839,Monday
2015-08-24,2015-09,8000,put,424,1100,380,695,695,5777,7773,Monday
2016-03-17,2016-06,8800,put,300,350,282,350,350,26,424,Thursday
2016-03-17,2016-06,8800,call,214,242,187,188,188,59,1210,Thursday
2016-05-04,2016-06,8800,call,9,9.9,5.5,7.4,7.4,1857,5544,Wednesday
2016-05-04,2016-06,8800,put,580,630,580,630,650,3,228,Wednesday
2017-01-04,2017-03,9300,put,195,216,195,206,212,17,66,Wednesday
2017-01-04,2017-03,9300,call,162,168,158,158,158,35,221,Wednesday
2017-02-13,2017-03,9300,call,397,412,383,412,412,123,1354,Monday
2017-02-13,2017-03,9300,put,27,27,21,21,21,4055,10006,Monday
2018-01-03,2018-03,10800,put,242,242,220,220,220,73,655,Wednesday
2018-01-03,2018-03,10800,call,144,183,144,171,171,2184,4096,Wednesday
2018-01-22,2018-03,10800,call,402,476,391,476,476,113,4007,Monday
2018-01-22,2018-03,10800,put,75,85,64,64,64,3387,5148,Monday
2018-01-23,2018-03,11200,put,175,205,173,185,185,1021,1232,Tuesday
2018-01-23,2018-03,11200,call,203,214,176,199,199,937,7315,Tuesday
2018-02-06,2018-03,11200,call,44.5,1170,40,70,70,6871,9338,Tuesday
2018-02-06,2018-03,11200,put,800,1300,182,920,890,1111,1399,Tuesday
2018-09-20,2018-12,10900,put,303,303,303,303,303,1,1,Thursday
2018-09-20,2018-12,10900,call,226,233,226,233,233,12,11,Thursday
2018-10-11,2018-12,10900,call,99,99,24,24,28.5,93,185,Thursday
2018-10-11,2018-12,10900,put,1050,1230,1050,1230,1300,6630,33,Thursday
